Id,ID_Reserva,Num_Adultos,Num_Niños,Noches_Fin_Semana,Noches_Semana,Tipo_Plan_Comidas,Requiere_Estacionamiento,Tipo_Habitación_Reservada,Tiempo_Antelación,Año_Llegada,Mes_Llegada,Día_Llegada,Segmento_Mercado,Huésped_Recurrente,Num_Cancelaciones_Previas,Num_Reservas_Previas_No_Canceladas,Precio_Promedio_Por_Habitación,Num_Solicitudes_Especiales,Estado_Reserva
33931,INN33932,2,0,1,5,Not Selected,0,Room_Type 4,57.0,2017,12,29,Online,0,0,0,103.62,,No Cancelada
29304,INN29305,2,0,1,3,,0,Room_Type 1,24.0,2018,12,1,Online,0,0,0,,0.0,No Cancelada
8798,INN08799,2,0,0,2,Meal Plan 1,0,Room_Type 1,86.0,2017,9,9,Corporate,0,0,0,100.0,0.0,No Cancelada
5713,INN05714,1,0,1,2,Meal Plan 1,0,Room_Type 4,1.0,2018,8,26,Online,0,0,0,174.0,1.0,No Cancelada
2482,INN02483,2,0,0,1,Meal Plan 1,0,Room_Type 4,85.0,2018,6,2,Online,0,0,0,140.4,0.0,Cancelada
25279,INN25280,2,0,0,1,Not Selected,0,Room_Type 1,13.0,2018,1,16,Online,0,0,0,75.0,1.0,No Cancelada
5952,INN05953,2,0,0,1,Meal Plan 1,0,Room_Type 6,5.0,2018,5,19,Online,0,0,0,221.0,2.0,No Cancelada
14796,INN14797,2,0,0,1,,0,,159.0,2018,2,13,Offline,0,0,0,70.0,0.0,No Cancelada
5016,INN05017,2,0,2,0,Not Selected,0,Room_Type 1,34.0,2018,6,26,Online,0,0,0,89.1,1.0,No Cancelada
12036,INN12037,2,0,2,3,,0,Room_Type 1,249.0,2018,10,2,Online,0,0,0,119.85,0.0,Cancelada
20632,INN20633,2,0,0,1,,0,Room_Type 1,12.0,2017,9,17,Online,0,0,0,,1.0,Cancelada
30995,INN30996,2,0,0,3,Meal Plan 1,0,Room_Type 1,4.0,2018,7,6,Online,0,0,0,,1.0,No Cancelada
17166,INN17167,1,0,2,2,Meal Plan 1,0,Room_Type 1,,2017,9,18,Online,0,0,0,69.11,0.0,No Cancelada
22422,INN22423,2,0,2,7,,0,Room_Type 1,94.0,2017,7,14,Online,0,0,0,55.96,0.0,Cancelada
23510,INN23511,0,2,0,4,Meal Plan 1,0,Room_Type 2,,2018,11,30,Online,0,0,0,67.26,0.0,Cancelada
19211,INN19212,1,0,1,2,,0,Room_Type 1,82.0,2018,4,1,Online,0,0,0,,1.0,No Cancelada
7470,INN07471,2,0,1,0,Meal Plan 1,0,Room_Type 1,37.0,2018,3,13,Corporate,1,0,3,77.0,,No Cancelada
21160,INN21161,2,0,1,0,Meal Plan 1,0,,3.0,2017,9,14,Online,0,0,0,126.0,1.0,No Cancelada
15238,INN15239,1,0,0,1,Meal Plan 1,1,Room_Type 1,6.0,2018,11,8,Corporate,1,0,1,74.0,1.0,No Cancelada
14028,INN14029,3,0,1,2,Meal Plan 1,0,Room_Type 4,9.0,2018,4,22,Online,0,0,0,167.0,0.0,Cancelada
7654,INN07655,2,0,1,1,,0,Room_Type 1,7.0,2018,6,13,Online,0,0,0,77.77,1.0,No Cancelada
4320,INN04321,2,0,2,2,,0,Room_Type 1,54.0,2018,10,16,Offline,0,0,0,,0.0,No Cancelada
17324,INN17325,2,0,2,6,Meal Plan 1,0,Room_Type 1,66.0,2018,11,11,Online,0,0,0,82.8,2.0,No Cancelada
22927,INN22928,2,0,0,2,Meal Plan 1,0,Room_Type 1,308.0,2018,11,25,Offline,0,0,0,52.0,0.0,Cancelada
34895,INN34896,2,0,2,1,Meal Plan 1,0,Room_Type 1,62.0,2018,5,21,Offline,0,0,0,,,Cancelada
27092,INN27093,2,0,0,3,Meal Plan 1,0,Room_Type 1,33.0,2018,2,10,Online,0,0,0,,1.0,No Cancelada
34842,INN34843,2,0,2,3,Meal Plan 1,0,Room_Type 1,181.0,2018,8,11,,0,0,0,99.45,1.0,Cancelada
10502,INN10503,3,0,0,4,Meal Plan 1,0,Room_Type 4,22.0,2018,11,16,Online,0,0,0,130.9,3.0,No Cancelada
26277,INN26278,2,0,2,2,Meal Plan 1,0,Room_Type 1,2.0,2018,5,15,Offline,0,0,0,81.75,0.0,No Cancelada
10307,INN10308,2,0,0,1,,0,Room_Type 1,55.0,2018,10,29,,0,0,0,82.47,1.0,No Cancelada
10453,INN10454,2,1,2,6,Meal Plan 1,0,Room_Type 1,2.0,2017,9,10,Online,0,0,0,163.63,2.0,No Cancelada
35493,INN35494,2,0,0,5,Meal Plan 1,0,Room_Type 1,140.0,2017,12,29,Offline,0,0,0,70.0,0.0,No Cancelada
28615,INN28616,2,0,0,3,,0,Room_Type 1,,2017,9,17,Offline,0,0,0,,0.0,No Cancelada
12348,INN12349,2,0,0,3,Meal Plan 1,0,Room_Type 1,,2018,6,7,,0,0,0,130.0,0.0,Cancelada
31636,INN31637,2,0,0,1,Meal Plan 1,1,Room_Type 1,103.0,2018,4,8,Online,0,0,0,99.9,1.0,No Cancelada
25855,INN25856,2,0,0,1,Not Selected,0,Room_Type 1,1.0,2018,7,21,Online,0,0,0,139.0,1.0,No Cancelada
21724,INN21725,2,0,1,2,Meal Plan 1,0,Room_Type 1,,2018,11,11,,0,0,0,75.0,0.0,No Cancelada
28927,INN28928,2,0,2,2,Meal Plan 1,0,Room_Type 4,63.0,2018,4,8,Online,0,0,0,112.2,0.0,Cancelada
2716,INN02717,2,0,1,0,,0,Room_Type 1,39.0,2018,9,12,Online,0,0,0,135.9,2.0,No Cancelada
4786,INN04787,1,0,1,0,Not Selected,0,Room_Type 5,3.0,2018,9,26,,0,0,0,195.0,0.0,No Cancelada
22205,INN22206,2,0,1,2,Meal Plan 1,0,Room_Type 4,2.0,2017,11,27,Online,0,0,0,59.75,,No Cancelada
32892,INN32893,2,0,0,2,Meal Plan 1,0,Room_Type 1,27.0,2017,9,30,Offline,0,0,0,108.0,0.0,No Cancelada
10022,INN10023,2,0,0,2,Meal Plan 1,0,Room_Type 1,86.0,2017,9,24,Offline,0,0,0,105.0,0.0,No Cancelada
29920,INN29921,3,0,1,1,Meal Plan 1,0,Room_Type 1,33.0,2018,1,25,Corporate,0,0,0,95.0,,No Cancelada
11240,INN11241,2,0,0,3,Meal Plan 2,0,,203.0,2018,12,8,Online,0,0,0,112.5,0.0,No Cancelada
15597,INN15598,2,0,1,1,Meal Plan 1,0,Room_Type 1,159.0,2018,4,9,Offline,0,0,0,,1.0,No Cancelada
23812,INN23813,2,0,1,3,Meal Plan 1,1,Room_Type 1,,2018,11,7,Online,0,0,0,174.15,2.0,No Cancelada
25034,INN25035,3,0,1,2,Meal Plan 1,0,Room_Type 4,6.0,2018,3,25,Online,0,0,0,192.67,1.0,No Cancelada
24876,INN24877,2,0,0,1,,0,Room_Type 1,11.0,2018,11,5,Online,0,0,0,130.0,1.0,Cancelada
11704,INN11705,2,0,2,5,,0,Room_Type 4,132.0,2018,8,10,Offline,0,0,0,96.56,1.0,No Cancelada
26611,INN26612,2,1,1,4,Meal Plan 1,0,Room_Type 1,,2018,8,22,Online,0,0,0,152.1,0.0,No Cancelada
31704,INN31705,2,0,2,3,,0,Room_Type 1,152.0,2018,8,25,Online,0,0,0,,0.0,Cancelada
1578,INN01579,2,0,0,2,Meal Plan 1,0,Room_Type 1,112.0,2018,6,2,Offline,0,0,0,,,No Cancelada
16392,INN16393,2,0,1,2,,0,Room_Type 1,273.0,2018,5,13,Offline,0,0,0,95.0,0.0,Cancelada
11338,INN11339,2,0,0,2,Meal Plan 1,1,,2.0,2018,8,9,,0,0,0,,,No Cancelada
25387,INN25388,2,0,0,2,Meal Plan 1,0,,8.0,2017,9,8,Online,0,0,0,80.85,2.0,No Cancelada
8409,INN08410,2,0,2,1,Not Selected,0,Room_Type 1,,2018,2,13,Online,0,0,0,79.0,0.0,Cancelada
5245,INN05246,3,0,1,1,Meal Plan 1,0,Room_Type 4,43.0,2018,7,18,Online,0,0,0,168.3,2.0,No Cancelada
2161,INN02162,2,0,0,3,Meal Plan 1,0,Room_Type 1,143.0,2018,8,25,Offline,0,0,0,100.0,0.0,No Cancelada
7432,INN07433,1,0,1,0,Not Selected,0,Room_Type 1,20.0,2018,9,12,,0,0,0,89.0,2.0,No Cancelada
16410,INN16411,2,0,1,3,,0,,169.0,2018,7,25,Online,0,0,0,89.25,1.0,No Cancelada
11605,INN11606,0,2,2,5,,0,Room_Type 2,255.0,2018,11,12,Online,0,0,0,72.0,,Cancelada
4936,INN04937,2,0,2,1,Not Selected,0,Room_Type 1,33.0,2018,7,23,Online,0,0,0,125.1,1.0,No Cancelada
35424,INN35425,2,0,2,2,Meal Plan 1,0,Room_Type 1,29.0,2018,9,9,Online,0,0,0,144.68,3.0,No Cancelada
492,INN00493,2,0,2,5,Meal Plan 1,0,Room_Type 1,98.0,2018,4,30,Online,0,0,0,109.81,,No Cancelada
5697,INN05698,2,0,2,3,Meal Plan 1,0,Room_Type 4,,2017,9,4,Online,0,0,0,78.54,1.0,No Cancelada
27152,INN27153,2,0,1,1,Not Selected,0,Room_Type 1,,2018,5,7,Online,0,0,0,116.1,1.0,No Cancelada
3782,INN03783,2,0,1,1,Meal Plan 1,0,Room_Type 1,2.0,2017,8,10,Online,0,0,0,98.0,,No Cancelada
23035,INN23036,2,1,2,2,Meal Plan 1,0,,76.0,2018,4,16,Online,0,0,0,,2.0,No Cancelada
31113,INN31114,2,0,1,3,Not Selected,0,,49.0,2018,2,22,,0,0,0,65.75,1.0,No Cancelada
8115,INN08116,2,0,0,1,Meal Plan 1,1,Room_Type 1,55.0,2018,11,15,Online,0,0,0,102.6,1.0,No Cancelada
15399,INN15400,3,0,0,2,,0,Room_Type 1,55.0,2018,4,29,Online,0,0,0,159.3,2.0,No Cancelada
30530,INN30531,2,1,0,2,,0,Room_Type 4,,2018,8,24,Online,0,0,0,164.0,1.0,No Cancelada
28918,INN28919,2,0,0,2,Meal Plan 1,0,Room_Type 4,19.0,2018,9,29,,0,0,0,174.0,2.0,No Cancelada
10710,INN10711,1,0,0,2,Meal Plan 1,0,Room_Type 4,16.0,2018,3,8,Complementary,0,0,0,6.0,0.0,No Cancelada
26306,INN26307,2,0,0,4,Meal Plan 1,0,,96.0,2018,10,19,,0,0,0,118.8,,No Cancelada
16790,INN16791,2,0,1,1,Meal Plan 2,0,Room_Type 1,301.0,2018,7,30,Offline,0,0,0,109.0,0.0,Cancelada
19455,INN19456,2,0,0,2,Meal Plan 1,0,Room_Type 1,29.0,2018,10,5,Online,0,0,0,152.0,2.0,No Cancelada
87,INN00088,1,0,0,2,Meal Plan 1,0,Room_Type 1,188.0,2018,6,15,Online,0,0,0,,0.0,Cancelada
8303,INN08304,2,0,0,2,Not Selected,0,Room_Type 1,6.0,2018,1,15,Online,0,0,0,69.5,1.0,No Cancelada
22829,INN22830,2,0,1,2,Meal Plan 1,0,Room_Type 4,185.0,2018,12,16,Online,0,0,0,,0.0,No Cancelada
3341,INN03342,1,0,0,3,,0,Room_Type 1,113.0,2018,5,31,Corporate,0,0,0,100.0,0.0,Cancelada
31344,INN31345,2,0,2,3,Meal Plan 1,0,Room_Type 1,276.0,2018,5,13,Offline,0,0,0,61.0,0.0,Cancelada
526,INN00527,2,0,0,1,Not Selected,0,Room_Type 1,58.0,2018,6,10,Online,0,0,0,116.1,1.0,No Cancelada
24810,INN24811,2,0,0,1,,0,Room_Type 1,0.0,2018,6,23,Online,0,0,0,97.0,1.0,No Cancelada
26486,INN26487,2,0,0,3,Meal Plan 1,0,,90.0,2018,9,7,Offline,0,0,0,,0.0,No Cancelada
16060,INN16061,2,0,1,1,Meal Plan 1,0,Room_Type 1,169.0,2018,8,22,Online,0,0,0,105.3,1.0,Cancelada
5076,INN05077,2,0,0,2,,0,Room_Type 1,102.0,2017,10,16,Offline,0,0,0,109.0,0.0,No Cancelada
31413,INN31414,2,0,0,1,Meal Plan 1,0,Room_Type 1,129.0,2018,8,6,Online,0,0,0,114.3,1.0,No Cancelada
1027,INN01028,2,0,0,1,Not Selected,0,Room_Type 1,0.0,2018,3,29,Online,0,0,0,89.0,0.0,No Cancelada
22058,INN22059,2,0,0,2,Meal Plan 2,0,Room_Type 1,30.0,2017,9,30,Offline,0,0,0,121.0,0.0,No Cancelada
1375,INN01376,2,0,1,2,Meal Plan 1,0,Room_Type 1,12.0,2018,10,3,Offline,0,0,0,,,No Cancelada
16515,INN16516,2,0,1,2,Meal Plan 1,0,Room_Type 1,94.0,2018,10,7,Online,0,0,0,118.8,,Cancelada
28663,INN28664,2,0,2,4,Meal Plan 1,0,Room_Type 1,14.0,2018,6,17,Offline,0,0,0,95.0,0.0,No Cancelada
34117,INN34118,2,0,1,2,,0,Room_Type 1,418.0,2018,9,26,Offline,0,0,0,107.0,,Cancelada
2072,INN02073,1,0,0,2,,0,Room_Type 1,,2018,11,25,Online,0,0,0,79.2,1.0,No Cancelada
14047,INN14048,2,0,0,1,Meal Plan 1,0,Room_Type 1,20.0,2018,1,22,Online,0,0,0,87.0,0.0,No Cancelada
30740,INN30741,2,0,2,3,Meal Plan 1,0,Room_Type 4,,2017,10,4,,0,0,0,,1.0,Cancelada
29013,INN29014,2,0,2,1,Meal Plan 2,0,Room_Type 1,124.0,2017,8,8,Offline,0,0,0,94.5,0.0,Cancelada
8786,INN08787,2,0,0,4,,0,,110.0,2017,12,9,Offline,0,0,0,70.0,1.0,No Cancelada
17912,INN17913,1,0,0,2,,0,Room_Type 1,32.0,2017,11,20,Offline,0,0,0,73.0,0.0,No Cancelada
6814,INN06815,2,0,0,2,,0,Room_Type 1,320.0,2018,8,18,Online,0,0,0,,1.0,Cancelada
11839,INN11840,2,0,0,1,,0,Room_Type 1,,2018,2,19,Corporate,0,0,0,80.0,0.0,Cancelada
17332,INN17333,2,0,1,4,Meal Plan 1,0,Room_Type 1,206.0,2018,10,26,Online,0,0,0,105.3,2.0,Cancelada
3178,INN03179,2,0,2,3,Meal Plan 1,0,Room_Type 1,46.0,2018,11,18,Online,0,0,0,68.07,5.0,No Cancelada
3259,INN03260,1,0,1,2,,0,Room_Type 1,161.0,2018,3,25,Online,0,0,0,105.0,0.0,Cancelada
134,INN00135,1,0,0,4,Not Selected,0,Room_Type 1,80.0,2018,3,29,Online,0,0,0,72.25,0.0,No Cancelada
26863,INN26864,2,0,0,3,Meal Plan 2,0,Room_Type 1,34.0,2017,9,23,Offline,0,0,0,224.67,0.0,Cancelada
25865,INN25866,2,0,1,3,Meal Plan 2,0,Room_Type 1,210.0,2017,10,8,Offline,0,0,0,86.0,0.0,Cancelada
2846,INN02847,2,0,2,5,Not Selected,0,Room_Type 1,39.0,2018,11,15,,0,0,0,74.8,1.0,Cancelada
27075,INN27076,2,0,2,3,,0,Room_Type 1,20.0,2018,3,19,Online,0,0,0,128.2,1.0,No Cancelada
2144,INN02145,2,0,2,1,Meal Plan 1,0,,6.0,2017,10,10,Offline,0,0,0,65.0,,No Cancelada
22349,INN22350,2,0,0,4,Meal Plan 1,0,Room_Type 1,89.0,2018,5,11,Online,0,0,0,119.85,0.0,No Cancelada
30441,INN30442,2,0,2,2,Meal Plan 1,0,Room_Type 1,56.0,2017,9,25,Offline,0,0,0,185.0,0.0,No Cancelada
26061,INN26062,2,0,0,1,,0,Room_Type 1,3.0,2018,2,26,Corporate,0,0,0,31.0,1.0,No Cancelada
8620,INN08621,1,0,1,1,Meal Plan 1,1,Room_Type 1,6.0,2018,4,18,Online,0,0,0,104.0,0.0,No Cancelada
13104,INN13105,2,0,0,2,Meal Plan 1,0,Room_Type 1,245.0,2018,6,17,Offline,0,0,0,75.0,0.0,Cancelada
20972,INN20973,2,0,0,1,Meal Plan 1,0,Room_Type 1,56.0,2018,6,8,Offline,0,0,0,120.0,0.0,No Cancelada
32502,INN32503,1,0,0,2,,0,Room_Type 1,18.0,2018,9,23,Online,0,0,0,149.0,,No Cancelada
6259,INN06260,2,0,0,2,,0,Room_Type 5,37.0,2018,6,17,Offline,0,0,0,134.1,,No Cancelada
3231,INN03232,2,0,0,1,,0,Room_Type 4,54.0,2018,6,3,Online,0,0,0,140.4,,No Cancelada
79,INN00080,2,0,0,5,Meal Plan 1,0,Room_Type 1,46.0,2018,3,29,Offline,0,0,0,75.0,1.0,No Cancelada
13037,INN13038,2,0,2,1,,0,,70.0,2018,4,2,Online,0,0,0,87.3,0.0,Cancelada
34340,INN34341,2,0,0,3,,0,Room_Type 1,11.0,2018,6,21,Online,0,0,0,124.33,1.0,No Cancelada
2602,INN02603,1,0,0,1,,0,Room_Type 1,1.0,2018,6,22,Online,0,0,0,95.48,,No Cancelada
13103,INN13104,2,0,0,1,Not Selected,0,Room_Type 1,13.0,2018,7,8,Online,0,0,0,137.0,0.0,Cancelada
31211,INN31212,2,0,0,3,Meal Plan 1,0,Room_Type 1,102.0,2018,5,3,Online,0,0,0,108.3,,No Cancelada
15594,INN15595,1,0,0,2,Meal Plan 1,0,Room_Type 1,64.0,2018,5,17,Corporate,0,0,0,130.0,,No Cancelada
23344,INN23345,2,0,0,1,Not Selected,0,Room_Type 1,19.0,2018,9,24,,0,0,0,149.0,1.0,Cancelada
31754,INN31755,1,0,1,1,,0,Room_Type 4,0.0,2017,10,19,Online,0,0,0,89.0,1.0,No Cancelada
4474,INN04475,1,0,0,1,Meal Plan 1,0,Room_Type 1,8.0,2018,5,25,Online,0,0,0,89.25,1.0,No Cancelada
31148,INN31149,1,0,0,2,Meal Plan 1,0,Room_Type 1,164.0,2017,10,2,Offline,0,0,0,100.0,0.0,Cancelada
20851,INN20852,3,0,0,3,Meal Plan 1,0,Room_Type 1,22.0,2018,9,13,Offline,0,0,0,124.0,1.0,No Cancelada
6571,INN06572,1,0,1,1,Not Selected,0,Room_Type 1,34.0,2018,12,17,Online,0,0,0,,,No Cancelada
20577,INN20578,2,1,0,1,Not Selected,0,,,2018,4,16,Online,0,0,0,65.83,2.0,No Cancelada
19727,INN19728,1,0,2,0,Meal Plan 1,0,Room_Type 1,3.0,2018,10,30,Online,0,0,0,,2.0,No Cancelada
17601,INN17602,1,0,1,2,Meal Plan 1,0,Room_Type 1,214.0,2018,10,7,,0,0,0,108.9,0.0,Cancelada
1099,INN01100,2,0,2,2,Meal Plan 1,0,Room_Type 1,24.0,2017,12,26,Offline,0,0,0,58.0,1.0,No Cancelada
20323,INN20324,1,0,1,3,Meal Plan 1,0,Room_Type 4,81.0,2018,10,10,Online,0,0,0,119.07,0.0,Cancelada
13128,INN13129,2,0,2,1,Not Selected,0,Room_Type 1,39.0,2018,2,13,Online,0,0,0,67.5,1.0,No Cancelada
23786,INN23787,2,0,1,3,Meal Plan 1,1,Room_Type 1,41.0,2018,6,20,,0,0,0,110.7,1.0,No Cancelada
19956,INN19957,1,0,2,5,Meal Plan 1,0,Room_Type 1,20.0,2017,11,11,Online,0,0,0,68.85,1.0,No Cancelada
15866,INN15867,2,0,1,2,Meal Plan 1,1,Room_Type 1,9.0,2018,8,15,Online,0,0,0,159.0,2.0,No Cancelada
7310,INN07311,1,0,1,1,Meal Plan 1,0,Room_Type 4,70.0,2018,11,21,Online,0,0,0,114.0,1.0,Cancelada
21695,INN21696,1,0,1,4,,0,Room_Type 1,21.0,2018,12,19,Online,0,0,0,67.32,0.0,No Cancelada
24027,INN24028,2,1,0,2,Meal Plan 1,0,Room_Type 1,42.0,2018,11,24,Offline,0,0,0,85.05,0.0,No Cancelada
7944,INN07945,2,0,2,0,Not Selected,0,Room_Type 1,28.0,2018,4,17,Online,0,0,0,89.0,0.0,Cancelada
17445,INN17446,2,0,0,2,Meal Plan 2,0,Room_Type 1,2.0,2018,12,1,Online,0,0,0,142.0,2.0,No Cancelada
1311,INN01312,2,0,1,2,,0,Room_Type 1,,2018,3,21,,0,0,0,,,No Cancelada
9133,INN09134,1,0,0,2,Meal Plan 1,0,Room_Type 1,1.0,2018,4,14,Aviation,0,0,0,95.0,0.0,No Cancelada
19980,INN19981,3,0,0,2,Meal Plan 1,0,Room_Type 4,93.0,2018,6,3,Online,0,0,0,159.3,0.0,No Cancelada
23636,INN23637,2,0,0,3,Meal Plan 1,0,Room_Type 4,,2017,10,15,Online,0,0,0,104.11,1.0,No Cancelada
26183,INN26184,2,0,0,2,Meal Plan 2,0,Room_Type 1,320.0,2018,8,18,,0,0,0,115.0,1.0,Cancelada
11668,INN11669,2,0,0,4,Meal Plan 1,0,Room_Type 1,58.0,2018,11,23,Offline,0,0,0,,0.0,No Cancelada
29239,INN29240,1,0,0,2,Meal Plan 1,0,Room_Type 1,32.0,2017,11,20,Offline,0,0,0,73.0,0.0,No Cancelada
18411,INN18412,2,0,1,4,Meal Plan 1,0,Room_Type 4,85.0,2018,7,13,Online,0,0,0,,1.0,No Cancelada
20463,INN20464,1,0,0,1,Meal Plan 1,1,Room_Type 1,1.0,2018,9,16,Online,0,0,0,139.5,2.0,No Cancelada
13250,INN13251,2,1,1,3,,0,Room_Type 1,45.0,2018,6,30,Online,0,0,0,,1.0,Cancelada
2966,INN02967,2,0,0,3,Meal Plan 1,0,Room_Type 1,183.0,2018,9,8,Online,0,0,0,110.0,,Cancelada
15824,INN15825,2,0,1,4,Meal Plan 1,0,,72.0,2018,4,11,Online,0,0,0,79.56,,No Cancelada
28203,INN28204,2,0,0,3,Meal Plan 1,0,Room_Type 1,96.0,2018,11,16,Online,0,0,0,90.0,,No Cancelada
30042,INN30043,2,0,0,2,Meal Plan 2,0,Room_Type 1,39.0,2017,8,14,Offline,0,0,0,109.0,0.0,No Cancelada
9292,INN09293,2,0,2,2,Meal Plan 1,0,Room_Type 4,107.0,2018,4,15,Online,0,0,0,95.2,1.0,No Cancelada
8959,INN08960,2,0,0,3,Meal Plan 1,0,Room_Type 1,41.0,2018,3,16,Offline,0,0,0,85.0,0.0,No Cancelada
29164,INN29165,2,0,0,3,Meal Plan 1,0,Room_Type 1,43.0,2018,1,21,Offline,0,0,0,,0.0,No Cancelada
29464,INN29465,2,0,2,2,Meal Plan 1,0,Room_Type 1,47.0,2018,3,11,Online,0,0,0,86.35,,No Cancelada
10654,INN10655,3,0,0,1,Meal Plan 1,0,,15.0,2018,12,27,Offline,0,0,0,90.0,2.0,No Cancelada
29801,INN29802,2,0,1,0,Meal Plan 1,0,Room_Type 4,21.0,2018,9,19,,0,0,0,164.0,1.0,Cancelada
32729,INN32730,1,0,0,3,Meal Plan 1,0,Room_Type 1,5.0,2017,12,2,Offline,0,0,0,55.0,0.0,No Cancelada
25408,INN25409,1,0,0,2,,0,Room_Type 1,192.0,2018,6,24,Offline,0,0,0,95.0,0.0,No Cancelada
23016,INN23017,3,0,1,3,Meal Plan 1,0,Room_Type 4,19.0,2018,4,14,Online,0,0,0,156.5,0.0,Cancelada
24898,INN24899,2,0,0,3,Meal Plan 1,0,Room_Type 1,71.0,2018,5,10,Offline,0,0,0,90.0,0.0,No Cancelada
12951,INN12952,2,0,2,2,,0,Room_Type 1,107.0,2017,12,18,Online,0,0,0,55.63,0.0,Cancelada
2263,INN02264,1,0,1,1,Meal Plan 1,0,Room_Type 1,1.0,2018,5,28,Online,0,0,0,130.0,1.0,No Cancelada
33781,INN33782,2,0,2,5,,0,Room_Type 4,,2018,9,24,Online,0,0,0,146.96,1.0,No Cancelada
166,INN00167,2,0,0,2,Meal Plan 1,0,Room_Type 4,8.0,2018,6,15,Online,0,0,0,156.0,0.0,Cancelada
18528,INN18529,2,0,0,1,Meal Plan 1,0,Room_Type 1,157.0,2018,5,19,Online,0,0,0,84.24,,Cancelada
3917,INN03918,2,0,0,4,Meal Plan 1,0,Room_Type 2,204.0,2018,7,12,Online,0,0,0,81.81,,Cancelada
21941,INN21942,2,0,1,3,Meal Plan 1,1,Room_Type 1,11.0,2018,11,14,Online,0,0,0,114.0,1.0,No Cancelada
24615,INN24616,2,0,0,2,Meal Plan 1,0,Room_Type 1,177.0,2018,6,3,Offline,0,0,0,,,Cancelada
9818,INN09819,2,0,1,1,Meal Plan 1,0,,80.0,2018,12,5,Offline,0,0,0,75.0,1.0,No Cancelada
106,INN00107,2,0,1,4,Meal Plan 1,1,Room_Type 1,10.0,2017,11,2,,0,0,0,82.95,0.0,No Cancelada
12116,INN12117,1,0,0,1,Meal Plan 1,0,Room_Type 1,6.0,2018,10,13,Online,0,0,0,95.0,0.0,No Cancelada
32494,INN32495,2,0,2,4,Meal Plan 1,0,,22.0,2017,9,16,Online,0,0,0,,2.0,No Cancelada
18560,INN18561,1,0,0,2,Meal Plan 1,0,Room_Type 1,8.0,2018,6,24,Offline,0,0,0,95.0,0.0,No Cancelada
35632,INN35633,2,0,1,1,Meal Plan 1,1,Room_Type 1,4.0,2017,12,21,Online,0,0,0,96.0,0.0,No Cancelada
9198,INN09199,2,0,2,0,Not Selected,0,Room_Type 1,22.0,2018,8,21,Online,0,0,0,139.0,,Cancelada
